glac_id,melt_rate,lat,lon,dist_km
G291160E27813S,-1.82E-13,-27.8125793,-68.84046352,152.4248825
G291131E27754S,-7.02E-13,-27.75392666,-68.86946752,152.4252208
G283987E10503S,-2.04E-13,-10.5023868,-76.01273228,152.4252879
G291121E27740S,-1.35E-12,-27.73984068,-68.8785007,152.4271646
G291142E27787S,-1.47E-13,-27.7861587,-68.85724806,152.428374
G291135E27771S,-4.68E-13,-27.77095978,-68.86473915,152.42844
G291032E27564S,-8.03E-13,-27.56307425,-68.96638509,152.4288006
G291149E27800S,-4.78E-13,-27.80035601,-68.85120836,152.4291745
G291234E27977S,-3.50E-13,-27.97709936,-68.76587694,152.4301627
G291150E27812S,-4.65E-13,-27.8111555,-68.84922195,152.4321279
G291248E28014S,-1.33E-12,-28.01377936,-68.75180015,152.433661
G291134E27781S,-2.44E-13,-27.78071417,-68.86580954,152.4336799
G291012E27540S,-3.90E-12,-27.53864536,-68.98651721,152.4362304
G291246E28019S,-3.62E-13,-28.01901648,-68.75388193,152.4378353
G291126E27775S,-7.63E-13,-27.7750294,-68.87377404,152.4383445
G284851E12996S,-3.00E-14,-12.99666461,-75.1477711,152.4414948
G291134E27800S,-3.20E-13,-27.79958247,-68.8653267,152.4415224
G291244E28026S,-6.30E-13,-28.02623711,-68.75606116,152.4429703
G291238E28019S,-6.26E-13,-28.01848797,-68.76069623,152.4437215
G291138E27813S,-3.11E-13,-27.81315241,-68.86232179,152.4447756
G291021E27576S,-3.44E-13,-27.57620902,-68.97892282,152.445819
G284849E13001S,-2.05E-12,-13.00118545,-75.15153983,152.4465811
G284112E10935S,-4.26E-13,-10.93539812,-75.88707809,152.4479701
G291100E27744S,-3.05E-13,-27.74422605,-68.89959812,152.4480496
G284842E12989S,-2.33E-14,-12.98875949,-75.15841006,152.448794
G290886E27305S,-3.97E-13,-27.30509742,-69.11432732,152.4493647
G291225E28010S,-2.15E-12,-28.00917148,-68.77234257,152.4500795
G291016E27583S,-1.32E-12,-27.58311958,-68.98358252,152.4530312
G284766E12803S,-2.16E-13,-12.80246419,-75.23357563,152.45595
G284766E12804S,-3.71E-13,-12.80343677,-75.23421358,152.4568809
G290876E27307S,-1.84E-12,-27.30690273,-69.12378255,152.4586627
G291095E27760S,-1.79E-12,-27.75889732,-68.90427694,152.4586859
G291128E27828S,-1.84E-12,-27.8274644,-68.87140648,152.459219
G284813E12951S,-1.72E-12,-12.95156998,-75.18717933,152.4631394
G291101E27781S,-5.74E-13,-27.78063541,-68.8993763,152.4638122
G290871E27314S,-5.27E-13,-27.31359767,-69.12917528,152.4664325
G291097E27785S,-9.25E-13,-27.78487963,-68.90283192,152.4687789
G290874E27327S,-1.36E-12,-27.32716842,-69.12571474,152.4692269
G291085E27764S,-2.92E-13,-27.76405113,-68.91471449,152.4703264
G290867E27320S,-5.55E-12,-27.31858868,-69.13259449,152.4716838
G291121E27835S,-7.37E-13,-27.8376589,-68.88111861,152.4724197
G291211E28031S,-1.38E-13,-28.03114297,-68.78903201,152.474735
G291134E27875S,-9.15E-14,-27.87529872,-68.86611195,152.4754588
G291120E27852S,-1.46E-12,-27.84438232,-68.88199182,152.476155
G291092E27801S,-7.05E-13,-27.79896679,-68.90714997,152.4788375
G291087E27790S,-4.07E-14,-27.79035828,-68.9130677,152.4803806
G291120E27860S,-2.66E-13,-27.86015532,-68.87985375,152.4811571
G291205E28037S,-3.99E-13,-28.0360355,-68.79403659,152.4813821
G291108E27824S,-4.69E-12,-27.82739075,-68.8979334,152.4830235
G291126E27881S,-8.43E-13,-27.8812195,-68.87283155,152.4840958
G291084E27796S,-2.07E-12,-27.79607353,-68.9148301,152.4844708
G290851E27316S,-8.22E-13,-27.31609677,-69.14889506,152.485273
G291117E27868S,-1.73E-12,-27.86775167,-68.88312806,152.4874337
G291107E27859S,-2.55E-13,-27.85938665,-68.89283119,152.49248
G291088E27821S,-1.43E-13,-27.82091685,-68.91193776,152.492768
G291104E27855S,-2.24E-13,-27.85452068,-68.89603415,152.4932222
G291123E27897S,-8.44E-14,-27.89708984,-68.87706003,152.494864
G291096E27844S,-5.29E-13,-27.84388755,-68.90315493,152.4949542
G291089E27840S,-4.62E-13,-27.83998687,-68.9106534,152.4999805
G291133E27932S,-3.17E-13,-27.93152796,-68.86702475,152.5009767
G291113E27895S,-4.49E-12,-27.89513677,-68.88719462,152.5031113
G291084E27837S,-1.03E-12,-27.83732369,-68.9156101,152.5032661
G291106E27882S,-1.94E-12,-27.88236578,-68.89452066,152.5040857
G291125E27934S,-7.14E-13,-27.93205258,-68.87400462,152.5074772
G291106E27898S,-5.82E-13,-27.89844687,-68.89367939,152.5103909
G291090E27871S,-6.42E-13,-27.86988592,-68.90819394,152.5108923
G291093E27874S,-5.71E-13,-27.87432837,-68.9072797,152.5120209
G291115E27921S,-3.55E-13,-27.92133682,-68.88506802,152.5127081
G291092E27878S,-3.15E-13,-27.87828818,-68.90841876,152.5147826
G291073E27842S,-2.37E-13,-27.84112882,-68.92671398,152.5149136
G291095E27887S,-6.64E-13,-27.8862366,-68.90511293,152.5153019
G291116E27930S,-1.38E-13,-27.92949245,-68.88410033,152.5154216
G291120E27938S,-7.02E-13,-27.93843508,-68.88020371,152.5158502
G291120E27944S,-8.74E-13,-27.9443773,-68.87991564,152.5182024
G291089E27885S,-8.74E-14,-27.8846457,-68.91055128,152.5194896
G291109E27925S,-2.00E-13,-27.92449858,-68.89138932,152.5197757
G291075E27860S,-1.63E-12,-27.85944043,-68.92341853,152.5199875
G291071E27854S,-9.76E-13,-27.85341974,-68.9270549,152.520613
G291120E27950S,-2.91E-13,-27.95014708,-68.88014307,152.5209422
G291106E27932S,-5.32E-13,-27.9313221,-68.89253922,152.5238063
G291110E27941S,-5.20E-13,-27.93975588,-68.88846843,152.5238548
G291093E27916S,5.83E-13,-27.91336041,-68.90306281,152.5253706
G291061E27845S,-2.08E-13,-27.84449102,-68.93871527,152.5271733
G291115E27956S,-2.87E-13,-27.95577921,-68.88500181,152.5277817
G291080E27891S,-3.76E-13,-27.89081352,-68.91972839,152.5304429
G291115E27971S,-4.99E-12,-27.96767646,-68.88417357,152.5322665
G291082E27902S,-7.12E-13,-27.90235101,-68.91766337,152.5336532
G291135E28010S,-9.96E-13,-28.01008569,-68.86535081,152.5340065
G291056E27851S,-1.73E-14,-27.85131673,-68.94412046,152.5350252
G291107E27957S,-7.12E-14,-27.95721428,-68.89261768,152.5352534
G291093E27932S,-1.35E-12,-27.93204313,-68.90526178,152.5355522
G291108E27961S,-1.24E-13,-27.96085243,-68.89166673,152.535998
G291072E27894S,-6.33E-13,-27.89428843,-68.92807101,152.5394641
G291074E27900S,-1.32E-13,-27.90002006,-68.92529453,152.539486
G291124E28003S,-2.68E-13,-28.00298618,-68.87625713,152.5406794
G291069E27893S,-2.27E-13,-27.89226119,-68.93155453,152.541704
G291116E27991S,-1.41E-12,-27.99122053,-68.88431363,152.5427421
G291105E27978S,-7.29E-13,-27.97681338,-68.89316742,152.544361
G291091E27949S,-4.86E-13,-27.94676814,-68.90846794,152.5449014
G291111E27986S,-6.19E-13,-27.98601035,-68.88935146,152.5449764
G291116E28000S,-5.59E-13,-27.99976849,-68.88396109,152.5461838
G291065E27900S,-7.73E-14,-27.89945887,-68.93492204,152.5478895
G291098E27967S,-9.10E-14,-27.96626214,-68.90241833,152.5480331
G291080E27939S,-4.63E-13,-27.93842085,-68.91922962,152.5509019
G291072E27926S,-1.16E-13,-27.92641193,-68.92758027,152.553129
G291107E27999S,-2.41E-13,-27.99881699,-68.8924005,152.5533453
G291095E27979S,-3.90E-13,-27.97918826,-68.90501166,152.5560436
G291046E27880S,-5.30E-13,-27.88050158,-68.95338138,152.5561538
G291088E27954S,-3.91E-12,-27.95927334,-68.91782892,152.5588049
G291108E28013S,5.19E-14,-28.01279335,-68.89227275,152.5593761
G291069E27935S,-2.44E-13,-27.93540772,-68.93059715,152.5597904
G291066E27941S,-1.02E-13,-27.940684,-68.93259616,152.5639039
G291045E27908S,-2.47E-12,-27.90638041,-68.95125131,152.5655997
G291072E27958S,-4.36E-13,-27.9586197,-68.92758484,152.5672815
G284583E12630S,-2.19E-13,-12.6292275,-75.4171695,152.5698062
G284579E12629S,-6.54E-14,-12.62759567,-75.41951466,152.5714596
G291085E27995S,-2.95E-13,-27.99516876,-68.91456362,152.5716478
G284580E12628S,-4.72E-13,-12.62739991,-75.42005585,152.5719024
G291076E27981S,-1.63E-12,-27.97972114,-68.9226055,152.5720813
G291069E27971S,-7.81E-13,-27.97071099,-68.93027882,152.5750143
G291090E28012S,-4.01E-12,-28.01193193,-68.91036165,152.5752436
G291090E28024S,-5.39E-14,-28.02371003,-68.91037119,152.5804313
G291094E28033S,-7.63E-14,-28.0329439,-68.90612974,152.5806829
G291068E27982S,-1.43E-13,-27.98241433,-68.93109103,152.580887
G291031E27912S,-1.40E-13,-27.91175076,-68.96921123,152.5840939
G291076E28007S,-2.48E-13,-28.00698271,-68.92368892,152.5850376
G291079E28014S,-1.02E-12,-28.01365105,-68.92058411,152.5851807
G291063E27986S,-2.85E-13,-27.98616239,-68.93649457,152.5873879
G291043E27965S,-5.02E-13,-27.96515152,-68.95721512,152.5967686
G291065E28009S,-1.64E-12,-28.00984145,-68.93603345,152.597382
G291064E28031S,-2.62E-13,-28.0307735,-68.93654307,152.607043
G284547E12644S,-7.85E-13,-12.64384378,-75.45235286,152.6078609
G284546E12640S,-2.48E-12,-12.64028743,-75.45383043,152.6080459
G290918E27740S,-3.72E-13,-27.73965739,-69.08098343,152.6091038
G291063E28039S,-1.90E-13,-28.03909435,-68.9365361,152.6106958
G290920E27747S,-3.13E-13,-27.74652926,-69.08032533,152.6115209
G284541E12637S,-1.24E-12,-12.63654454,-75.45900387,152.6116449
G284542E12644S,-8.59E-14,-12.64332376,-75.45816468,152.6131526
G284536E12633S,-4.98E-13,-12.6329242,-75.463345,152.6145026
G290921E27759S,-1.16E-12,-27.75871335,-69.07901964,152.6156823
G291066E28058S,-2.57E-13,-28.05792504,-68.93381789,152.6165368
G291039E28030S,-1.56E-12,-28.03162993,-68.94729883,152.6170797
G291056E28039S,-7.93E-14,-28.03897289,-68.9444217,152.6177245
G291063E28060S,-4.78E-13,-28.06043164,-68.93719829,152.6206752
G291070E28078S,-2.78E-13,-28.07795755,-68.92982365,152.6217629
G290915E27764S,-7.39E-13,-27.76439224,-69.08506717,152.623606
G291057E28063S,-1.09E-13,-28.06275707,-68.94283087,152.6267565
G291047E28042S,-4.88E-13,-28.0424357,-68.95341017,152.62732
G290913E27776S,-5.39E-13,-27.77475934,-69.08675977,152.629668
G290917E27789S,-1.67E-12,-27.78741205,-69.08098226,152.6300164
G291056E28080S,-7.65E-13,-28.08016111,-68.94385807,152.6353354
G290913E27797S,-5.18E-13,-27.79718522,-69.0867355,152.6394697
G291027E28035S,-4.10E-13,-28.03497651,-68.97244925,152.6411401
G291035E28054S,-3.27E-13,-28.05377201,-68.96552625,152.6431869
G291031E28058S,-7.22E-14,-28.05834426,-68.96816621,152.6475687
G291025E28055S,-3.36E-14,-28.05493076,-68.97407464,152.6513739
G291030E28070S,-1.63E-14,-28.07022923,-68.97005634,152.6544934
G283955E11115S,-2.72E-13,-11.11507603,-76.04486295,152.6560117
G291019E28053S,-2.24E-13,-28.05261197,-68.98072444,152.6563266
G291024E28061S,8.85E-14,-28.06136706,-68.9765193,152.6564
G291025E28076S,-8.13E-14,-28.075406,-68.97485225,152.6610775
G291028E28090S,-2.65E-13,-28.08986741,-68.9717544,152.6646572
G291031E28099S,-8.24E-14,-28.09852231,-68.96821763,152.6652891
G291029E28095S,-1.85E-13,-28.0949218,-68.97095219,152.6661605
G291021E28083S,7.73E-14,-28.08259702,-68.97879634,152.6677827
G291005E28061S,-2.03E-14,-28.06097955,-68.99425813,152.6721611
G291004E28069S,-1.56E-13,-28.06927579,-68.99145829,152.6732949
G291015E28083S,6.30E-14,-28.08325549,-68.98482875,152.6734898
G291019E28095S,-1.12E-13,-28.09452592,-68.980751,152.6747858
G290997E28056S,-3.25E-13,-28.05597377,-69.00249342,152.6773564
G291009E28090S,-7.83E-13,-28.09028912,-68.99083508,152.6819778
G290812E27697S,-5.67E-12,-27.69610406,-69.18628,152.6847279
G290993E28067S,-1.49E-13,-28.06639606,-69.00650374,152.6855411
G291001E28087S,-1.11E-12,-28.08741986,-68.99807906,152.6872212
